fonte_recurso,campo,decisao_proposta,destino_finalidade,justificativa_individual,estado
legado,numr_inscricao_iptu_lote,Manter,Vínculos e identidade,Identificar unidade/lote/edifício e manter vínculos cadastrais; não juntar unidades por prefixo. Validar formato e domínio de unidade principal.,Proposta de revisão; não implementada
legado,pontos_bic,Manter,Ficha cadastral,"Pontuação construtiva municipal; guardar referência e domínio. Não chamar de preço, avaliação comercial ou qualidade validada independentemente.",Proposta de revisão; não implementada
legado,data_inclusao_ipt_dt,Excluir,Não migrar,Datas/controles de inclusão e recadastramento e horário de operação; não são idade do imóvel e não têm papel definido na ficha consolidada.,Proposta de revisão; não implementada
legado,data_alteracao_ipt_dt,Manter,Atualidade cadastral,"Data da última alteração cadastral informada pelo legado; manter para avaliar atualidade conhecida, sem presumir que todos os atributos mudaram nela.",Proposta de revisão; não implementada
legado,data_recad_geo_ipt_dt,Excluir,Não migrar,Datas/controles de inclusão e recadastramento e horário de operação; não são idade do imóvel e não têm papel definido na ficha consolidada.,Proposta de revisão; não implementada
legado,info_e_cpf_cgc_ipt,Manter,Vínculos de pessoa,Identificar contribuinte e cruzar relação imobiliária por pessoa; dado cadastral não confirma proprietário atual. Não expor automaticamente em ficha pública.,Proposta de revisão; não implementada
legado,numr_inscricao_iptu_nr,Excluir,Não migrar,"Coincide com inscricao_cartografica nas 831597 linhas: excluir a coluna duplicada da base consolidada, preservando o arquivo original.",Proposta de revisão; não implementada
legado,numr_cartorio_ipt,Manter,Registro cadastral,"Preservar cartório e matrícula declarados, com município; não presumir prova de titularidade.",Proposta de revisão; não implementada
legado,matr_registro_cartorio_ipt,Manter,Registro cadastral,"Preservar cartório e matrícula declarados, com município; não presumir prova de titularidade.",Proposta de revisão; não implementada
legado,info_piscina_ipt,Manter,Amenidades compartilhadas,"Amenidades potencialmente do lote/conjunto; conservar domínio e nível, sem atribuir posse privativa a toda unidade.",Proposta de revisão; não implementada
legado,info_sauna_ipt,Manter,Amenidades compartilhadas,"Amenidades potencialmente do lote/conjunto; conservar domínio e nível, sem atribuir posse privativa a toda unidade.",Proposta de revisão; não implementada
legado,info_home_cinema_ipt,Manter,Amenidades da unidade,Características imobiliárias da unidade; traduzir domínio e preservar dados raros do original sem tratar preenchimento como sim.,Proposta de revisão; não implementada
legado,info_churrasq_coletiva_ipt,Manter,Amenidades compartilhadas,"Amenidades potencialmente do lote/conjunto; conservar domínio e nível, sem atribuir posse privativa a toda unidade.",Proposta de revisão; não implementada
legado,info_churrasq_privativa_ipt,Manter,Amenidades da unidade,Características imobiliárias da unidade; traduzir domínio e preservar dados raros do original sem tratar preenchimento como sim.,Proposta de revisão; não implementada
legado,info_quadra_poliesportiva_ipt,Manter,Amenidades compartilhadas,"Amenidades potencialmente do lote/conjunto; conservar domínio e nível, sem atribuir posse privativa a toda unidade.",Proposta de revisão; não implementada
legado,info_quadra_tenis_ipt,Manter,Amenidades compartilhadas,"Amenidades potencialmente do lote/conjunto; conservar domínio e nível, sem atribuir posse privativa a toda unidade.",Proposta de revisão; não implementada
legado,info_playgraund_briquedoteca_ipt,Manter,Amenidades compartilhadas,"Amenidades potencialmente do lote/conjunto; conservar domínio e nível, sem atribuir posse privativa a toda unidade.",Proposta de revisão; não implementada
legado,info_elevador_ipt,Manter,Amenidades compartilhadas,"Amenidades potencialmente do lote/conjunto; conservar domínio e nível, sem atribuir posse privativa a toda unidade.",Proposta de revisão; não implementada
legado,info_energia_solar_ipt,Manter,Amenidades da unidade,Características imobiliárias da unidade; traduzir domínio e preservar dados raros do original sem tratar preenchimento como sim.,Proposta de revisão; não implementada
legado,info_academia_ginastica_ipt,Manter,Amenidades compartilhadas,"Amenidades potencialmente do lote/conjunto; conservar domínio e nível, sem atribuir posse privativa a toda unidade.",Proposta de revisão; não implementada
legado,info_salao_festa_ipt,Manter,Amenidades compartilhadas,"Amenidades potencialmente do lote/conjunto; conservar domínio e nível, sem atribuir posse privativa a toda unidade.",Proposta de revisão; não implementada
legado,info_espaco_gourmet_ipt,Manter,Amenidades compartilhadas,"Amenidades potencialmente do lote/conjunto; conservar domínio e nível, sem atribuir posse privativa a toda unidade.",Proposta de revisão; não implementada
legado,info_gerador_ipt,Manter,Amenidades compartilhadas,"Amenidades potencialmente do lote/conjunto; conservar domínio e nível, sem atribuir posse privativa a toda unidade.",Proposta de revisão; não implementada
legado,info_heliponto_ipt,Manter,Amenidades compartilhadas,"Amenidades potencialmente do lote/conjunto; conservar domínio e nível, sem atribuir posse privativa a toda unidade.",Proposta de revisão; não implementada
legado,info_escaninho_ipt,Manter,Amenidades compartilhadas,"Amenidades potencialmente do lote/conjunto; conservar domínio e nível, sem atribuir posse privativa a toda unidade.",Proposta de revisão; não implementada
legado,info_mais_2_box_garagem_ipt,Manter,Amenidades da unidade,Características imobiliárias da unidade; traduzir domínio e preservar dados raros do original sem tratar preenchimento como sim.,Proposta de revisão; não implementada
legado,info_lage_tecnica_ipt,Manter,Amenidades da unidade,Características imobiliárias da unidade; traduzir domínio e preservar dados raros do original sem tratar preenchimento como sim.,Proposta de revisão; não implementada
legado,info_sala_reuniao_ipt,Manter,Amenidades da unidade,Características imobiliárias da unidade; traduzir domínio e preservar dados raros do original sem tratar preenchimento como sim.,Proposta de revisão; não implementada
legado,info_isolamento_acustico_ipt,Manter,Amenidades da unidade,Características imobiliárias da unidade; traduzir domínio e preservar dados raros do original sem tratar preenchimento como sim.,Proposta de revisão; não implementada
legado,info_rede_frigorigena_ipt,Manter,Amenidades da unidade,Características imobiliárias da unidade; traduzir domínio e preservar dados raros do original sem tratar preenchimento como sim.,Proposta de revisão; não implementada
legado,info_mais_de_uma_suite_ipt,Manter,Amenidades da unidade,Características imobiliárias da unidade; traduzir domínio e preservar dados raros do original sem tratar preenchimento como sim.,Proposta de revisão; não implementada
legado,info_lavabo_ipt,Manter,Amenidades da unidade,Características imobiliárias da unidade; traduzir domínio e preservar dados raros do original sem tratar preenchimento como sim.,Proposta de revisão; não implementada
legado,tipo_imposto,Manter,Ficha cadastral e dicionário,"Conservar código e descrição para traduzir domínios, situação e características. Preservar classificação fiscal separada de tipo comercial; nulo/zero não são automaticamente ausência.",Proposta de revisão; não implementada
legado,geom,Excluir,Não migrar,"Vazio no CSV inteiro; geometria será obtida da GEO360, com entidade e referência espacial validadas.",Proposta de revisão; não implementada
imobiliario,id,Manter,Vínculos e identidade,Identificar a unidade e preservar aliases/vínculos cadastrais; IDs internos não substituem IPTU. Interpretar unidade principal antes de agrupar acessórias.,Proposta de revisão; não implementada
imobiliario,geom,Manter,Localização,Localizar a unidade; validar referência espacial e precisão. Não confundir sua geometria com a do lote ou da edificação.,Proposta de revisão; não implementada
imobiliario,numero_cadastro,Manter,Vínculos e identidade,Identificar a unidade e preservar aliases/vínculos cadastrais; IDs internos não substituem IPTU. Interpretar unidade principal antes de agrupar acessórias.,Proposta de revisão; não implementada
imobiliario,inscricao_cartografica,Manter,Vínculos e identidade,Identificar a unidade e preservar aliases/vínculos cadastrais; IDs internos não substituem IPTU. Interpretar unidade principal antes de agrupar acessórias.,Proposta de revisão; não implementada
imobiliario,nr_unidade,Manter,Vínculos e identidade,Identificar a unidade e preservar aliases/vínculos cadastrais; IDs internos não substituem IPTU. Interpretar unidade principal antes de agrupar acessórias.,Proposta de revisão; não implementada
imobiliario,id_lote,Manter,Vínculos e identidade,Identificar a unidade e preservar aliases/vínculos cadastrais; IDs internos não substituem IPTU. Interpretar unidade principal antes de agrupar acessórias.,Proposta de revisão; não implementada
imobiliario,status,Manter,Ficha cadastral,"Classificar situação, uso e construção do imóvel; traduzir domínio e sentinelas antes de exibir ou filtrar.",Proposta de revisão; não implementada
imobiliario,id_secao,Manter,Vínculos e identidade,Relacionar unidade aos cadastros territoriais por IDs com namespace próprio; sem exposição de IDs técnicos na ficha.,Proposta de revisão; não implementada
imobiliario,nr_porta,Manter,Ficha cadastral,"Compor endereço e identificação da unidade; conservar divergências entre origens, sem sobrescrita automática.",Proposta de revisão; não implementada
imobiliario,complemento,Manter,Ficha cadastral,"Compor endereço e identificação da unidade; conservar divergências entre origens, sem sobrescrita automática.",Proposta de revisão; não implementada
imobiliario,ct_tipo_geo,Excluir,Não migrar,"Controle operacional de geocodificação/cancelamento/notificação; conservar o status cadastral estruturado, sem migrar o processo interno.",Proposta de revisão; não implementada
imobiliario,ct_data_geo,Excluir,Não migrar,Datas de criação/edição/fluxo técnico sem correspondência comprovada com atualização de cada atributo imobiliário. Não usar como idade do imóvel nem como versão vencedora.,Proposta de revisão; não implementada
imobiliario,ct_operador_geo,Excluir,Não migrar,"Identificação de operadores internos; não contribui para identidade, localização ou características do imóvel.",Proposta de revisão; não implementada
imobiliario,ct_justificativa,Excluir,Não migrar,Justificativa/comentário interno; não migrar para base consolidada ou anúncio.,Proposta de revisão; não implementada
imobiliario,ct_cancelamento,Excluir,Não migrar,"Controle operacional de geocodificação/cancelamento/notificação; conservar o status cadastral estruturado, sem migrar o processo interno.",Proposta de revisão; não implementada
imobiliario,dt_criacao,Excluir,Não migrar,Datas de criação/edição/fluxo técnico sem correspondência comprovada com atualização de cada atributo imobiliário. Não usar como idade do imóvel nem como versão vencedora.,Proposta de revisão; não implementada
imobiliario,area_construida_legado,Manter,Áreas separadas,"Cada área representa conceito/método distinto. Guardar separada e validar unidade, significado e qualidade antes de formar o valor da ficha.",Proposta de revisão; não implementada
imobiliario,id_area_cadastro,Manter,Vínculos e identidade,Relacionar unidade aos cadastros territoriais por IDs com namespace próprio; sem exposição de IDs técnicos na ficha.,Proposta de revisão; não implementada
imobiliario,area_terreno_fracao,Manter,Áreas separadas,"Cada área representa conceito/método distinto. Guardar separada e validar unidade, significado e qualidade antes de formar o valor da ficha.",Proposta de revisão; não implementada
imobiliario,area_construida_calculada,Manter,Áreas separadas,"Cada área representa conceito/método distinto. Guardar separada e validar unidade, significado e qualidade antes de formar o valor da ficha.",Proposta de revisão; não implementada
imobiliario,area_construida_comum,Manter,Áreas separadas,"Cada área representa conceito/método distinto. Guardar separada e validar unidade, significado e qualidade antes de formar o valor da ficha.",Proposta de revisão; não implementada
imobiliario,area_construida_equivalente,Manter,Áreas separadas,"Cada área representa conceito/método distinto. Guardar separada e validar unidade, significado e qualidade antes de formar o valor da ficha.",Proposta de revisão; não implementada
imobiliario,area_construida_privativa,Manter,Áreas separadas,"Cada área representa conceito/método distinto. Guardar separada e validar unidade, significado e qualidade antes de formar o valor da ficha.",Proposta de revisão; não implementada
imobiliario,area_construida_manual,Manter,Áreas separadas,"Cada área representa conceito/método distinto. Guardar separada e validar unidade, significado e qualidade antes de formar o valor da ficha.",Proposta de revisão; não implementada
imobiliario,estrutura,Manter,Ficha cadastral,"Descrever características construtivas e pavimentos da unidade; confirmar domínios e tratar divergências, nulo, zero e 999.",Proposta de revisão; não implementada
imobiliario,cobertura,Manter,Ficha cadastral,"Descrever características construtivas e pavimentos da unidade; confirmar domínios e tratar divergências, nulo, zero e 999.",Proposta de revisão; não implementada
imobiliario,revestimento_externo,Manter,Ficha cadastral,"Descrever características construtivas e pavimentos da unidade; confirmar domínios e tratar divergências, nulo, zero e 999.",Proposta de revisão; não implementada
imobiliario,tipo_edificacao,Manter,Ficha cadastral,"Classificar situação, uso e construção do imóvel; traduzir domínio e sentinelas antes de exibir ou filtrar.",Proposta de revisão; não implementada
imobiliario,status_proprietario,Manter,Vínculos de pessoa,"Apoio ao vínculo cadastral de pessoa, sem presumir titularidade atual. Campo direto nulo não substitui a consulta à relação imobiliario_pessoa; tipo/status requer domínio.",Proposta de revisão; não implementada
imobiliario,inscricao_legado,Manter,Vínculos e identidade,Identificar a unidade e preservar aliases/vínculos cadastrais; IDs internos não substituem IPTU. Interpretar unidade principal antes de agrupar acessórias.,Proposta de revisão; não implementada
imobiliario,nr_lote_anterior,Manter,Vínculos e identidade,"Auxilia histórico de recadastro/renumeração do lote. Preservar alias, sem usá-lo sozinho para unir unidades.",Proposta de revisão; não implementada
imobiliario,ct_usuario_caract,Excluir,Não migrar,"Identificação de operadores internos; não contribui para identidade, localização ou características do imóvel.",Proposta de revisão; não implementada
imobiliario,ct_data_alteracao,Excluir,Não migrar,Datas de criação/edição/fluxo técnico sem correspondência comprovada com atualização de cada atributo imobiliário. Não usar como idade do imóvel nem como versão vencedora.,Proposta de revisão; não implementada
imobiliario,inscricao_anterior,Manter,Vínculos e identidade,Identificar a unidade e preservar aliases/vínculos cadastrais; IDs internos não substituem IPTU. Interpretar unidade principal antes de agrupar acessórias.,Proposta de revisão; não implementada
imobiliario,uso,Manter,Ficha cadastral,"Classificar situação, uso e construção do imóvel; traduzir domínio e sentinelas antes de exibir ou filtrar.",Proposta de revisão; não implementada
imobiliario,posicionamento,Manter,Ficha cadastral,"Classificar situação, uso e construção do imóvel; traduzir domínio e sentinelas antes de exibir ou filtrar.",Proposta de revisão; não implementada
imobiliario,situacao_edificacao,Manter,Ficha cadastral,"Classificar situação, uso e construção do imóvel; traduzir domínio e sentinelas antes de exibir ou filtrar.",Proposta de revisão; não implementada
imobiliario,id_distrito,Manter,Vínculos e identidade,Relacionar unidade aos cadastros territoriais por IDs com namespace próprio; sem exposição de IDs técnicos na ficha.,Proposta de revisão; não implementada
imobiliario,id_setor,Manter,Vínculos e identidade,Relacionar unidade aos cadastros territoriais por IDs com namespace próprio; sem exposição de IDs técnicos na ficha.,Proposta de revisão; não implementada
imobiliario,id_bairro,Manter,Vínculos e identidade,Relacionar unidade aos cadastros territoriais por IDs com namespace próprio; sem exposição de IDs técnicos na ficha.,Proposta de revisão; não implementada
imobiliario,id_quadra,Manter,Vínculos e identidade,Relacionar unidade aos cadastros territoriais por IDs com namespace próprio; sem exposição de IDs técnicos na ficha.,Proposta de revisão; não implementada
imobiliario,id_contribuinte,Manter,Vínculos de pessoa,"Apoio ao vínculo cadastral de pessoa, sem presumir titularidade atual. Campo direto nulo não substitui a consulta à relação imobiliario_pessoa; tipo/status requer domínio.",Proposta de revisão; não implementada
imobiliario,inscricao_topocart,Excluir,Não migrar,"Identificador da origem/levantamento auxiliar sem vínculo necessário demonstrado; IPTU, aliases legados e IDs GEO360 já são mantidos.",Proposta de revisão; não implementada
imobiliario,acabamento_externo,Manter,Ficha cadastral,"Descrever características construtivas e pavimentos da unidade; confirmar domínios e tratar divergências, nulo, zero e 999.",Proposta de revisão; não implementada
imobiliario,esquadrias,Manter,Ficha cadastral,"Descrever características construtivas e pavimentos da unidade; confirmar domínios e tratar divergências, nulo, zero e 999.",Proposta de revisão; não implementada
imobiliario,conservacao,Manter,Ficha cadastral,"Descrever características construtivas e pavimentos da unidade; confirmar domínios e tratar divergências, nulo, zero e 999.",Proposta de revisão; não implementada
imobiliario,dt_ultima_atualizacao,Excluir,Não migrar,Datas de criação/edição/fluxo técnico sem correspondência comprovada com atualização de cada atributo imobiliário. Não usar como idade do imóvel nem como versão vencedora.,Proposta de revisão; não implementada
imobiliario,churrasqueira_privativa,Manter,Ficha cadastral,Amenidades da unidade com finalidade imobiliária; códigos preenchidos não significam automaticamente presença. Validar domínio.,Proposta de revisão; não implementada
imobiliario,energia_solar,Manter,Ficha cadastral,Amenidades da unidade com finalidade imobiliária; códigos preenchidos não significam automaticamente presença. Validar domínio.,Proposta de revisão; não implementada
imobiliario,pavimentos,Manter,Ficha cadastral,"Descrever características construtivas e pavimentos da unidade; confirmar domínios e tratar divergências, nulo, zero e 999.",Proposta de revisão; não implementada
imobiliario,ct_codg_logra_pref,Manter,Vínculos e identidade,Código municipal do logradouro: coincidiu com o legado em 1000 pares. É dado imobiliário apesar do prefixo ct_.,Proposta de revisão; não implementada
imobiliario,piso,Manter,Ficha cadastral,"Descrever características construtivas e pavimentos da unidade; confirmar domínios e tratar divergências, nulo, zero e 999.",Proposta de revisão; não implementada
imobiliario,forro,Manter,Ficha cadastral,"Descrever características construtivas e pavimentos da unidade; confirmar domínios e tratar divergências, nulo, zero e 999.",Proposta de revisão; não implementada
imobiliario,instalacao_eletrica,Manter,Ficha cadastral,"Descrever características construtivas e pavimentos da unidade; confirmar domínios e tratar divergências, nulo, zero e 999.",Proposta de revisão; não implementada
imobiliario,instalacao_sanitaria,Manter,Ficha cadastral,"Descrever características construtivas e pavimentos da unidade; confirmar domínios e tratar divergências, nulo, zero e 999.",Proposta de revisão; não implementada
imobiliario,revestimento_interno,Manter,Ficha cadastral,"Descrever características construtivas e pavimentos da unidade; confirmar domínios e tratar divergências, nulo, zero e 999.",Proposta de revisão; não implementada
imobiliario,acabamento_interno,Manter,Ficha cadastral,"Descrever características construtivas e pavimentos da unidade; confirmar domínios e tratar divergências, nulo, zero e 999.",Proposta de revisão; não implementada
imobiliario,home_cinema,Manter,Ficha cadastral,Amenidades da unidade com finalidade imobiliária; códigos preenchidos não significam automaticamente presença. Validar domínio.,Proposta de revisão; não implementada
imobiliario,mais_2_box_garagem,Manter,Ficha cadastral,Amenidades da unidade com finalidade imobiliária; códigos preenchidos não significam automaticamente presença. Validar domínio.,Proposta de revisão; não implementada
imobiliario,laje_tecnica,Manter,Ficha cadastral,Amenidades da unidade com finalidade imobiliária; códigos preenchidos não significam automaticamente presença. Validar domínio.,Proposta de revisão; não implementada
imobiliario,sala_reuniao,Manter,Ficha cadastral,Amenidades da unidade com finalidade imobiliária; códigos preenchidos não significam automaticamente presença. Validar domínio.,Proposta de revisão; não implementada
imobiliario,isolam_acustico,Manter,Ficha cadastral,Amenidades da unidade com finalidade imobiliária; códigos preenchidos não significam automaticamente presença. Validar domínio.,Proposta de revisão; não implementada
imobiliario,rede_frigorigena,Manter,Ficha cadastral,Amenidades da unidade com finalidade imobiliária; códigos preenchidos não significam automaticamente presença. Validar domínio.,Proposta de revisão; não implementada
imobiliario,mais_uma_suite,Manter,Ficha cadastral,Amenidades da unidade com finalidade imobiliária; códigos preenchidos não significam automaticamente presença. Validar domínio.,Proposta de revisão; não implementada
imobiliario,lavabo,Manter,Ficha cadastral,Amenidades da unidade com finalidade imobiliária; códigos preenchidos não significam automaticamente presença. Validar domínio.,Proposta de revisão; não implementada
imobiliario,tipo_construcao,Manter,Ficha cadastral,"Classificar situação, uso e construção do imóvel; traduzir domínio e sentinelas antes de exibir ou filtrar.",Proposta de revisão; não implementada
imobiliario,forma_uso,Manter,Ficha cadastral,"Classificar situação, uso e construção do imóvel; traduzir domínio e sentinelas antes de exibir ou filtrar.",Proposta de revisão; não implementada
imobiliario,atividade_economica,Excluir,Não migrar,"Significado do campo e utilidade além de uso/forma de uso não confirmados; excluir deste recorte até definição, sem misturar inscrição com categoria de atividade.",Proposta de revisão; não implementada
imobiliario,nr_unidade_principal,Manter,Vínculos e identidade,Identificar a unidade e preservar aliases/vínculos cadastrais; IDs internos não substituem IPTU. Interpretar unidade principal antes de agrupar acessórias.,Proposta de revisão; não implementada
imobiliario,matricula_registro_cartorio,Manter,Registro cadastral,Preservar referência declarada de matrícula; não tratá-la como certidão nem prova de proprietário atual.,Proposta de revisão; não implementada
imobiliario,ct_observacao_prefeitura,Excluir,Não migrar,Justificativa/comentário interno; não migrar para base consolidada ou anúncio.,Proposta de revisão; não implementada
imobiliario,valor_venal_terreno_dados_legado,Manter,Referência fiscal imobiliária,"Valor de referência fiscal imobiliária, separado de preço anunciado e valor de transação; validar data/unidade/método.",Proposta de revisão; não implementada
imobiliario,ocupacao,Manter,Ficha cadastral,"Classificar situação, uso e construção do imóvel; traduzir domínio e sentinelas antes de exibir ou filtrar.",Proposta de revisão; não implementada
imobiliario,dt_atualizacao_tributario,Manter,Atualidade cadastral,"Data de atualização tributária, útil para contextualizar atributos fiscais; não representa necessariamente atualização de toda a ficha.",Proposta de revisão; não implementada
imobiliario,pgv_terreno,Manter,Referência fiscal imobiliária,"Valor de referência fiscal imobiliária, separado de preço anunciado e valor de transação; validar data/unidade/método.",Proposta de revisão; não implementada
imobiliario,valor_venal,Manter,Referência fiscal imobiliária,"Valor de referência fiscal imobiliária, separado de preço anunciado e valor de transação; validar data/unidade/método.",Proposta de revisão; não implementada
imobiliario,codigo_sia_cadiptu_asg,Manter,Vínculos e identidade,Identificar a unidade e preservar aliases/vínculos cadastrais; IDs internos não substituem IPTU. Interpretar unidade principal antes de agrupar acessórias.,Proposta de revisão; não implementada
imobiliario,x_coord,Excluir,Não migrar,Representação de coordenadas sem referência espacial confirmada e redundante com geom/latitude/longitude selecionados.,Proposta de revisão; não implementada
imobiliario,y_coord,Excluir,Não migrar,Representação de coordenadas sem referência espacial confirmada e redundante com geom/latitude/longitude selecionados.,Proposta de revisão; não implementada
imobiliario,latitude,Manter,Localização,Localizar a unidade; validar referência espacial e precisão. Não confundir sua geometria com a do lote ou da edificação.,Proposta de revisão; não implementada
imobiliario,longitude,Manter,Localização,Localizar a unidade; validar referência espacial e precisão. Não confundir sua geometria com a do lote ou da edificação.,Proposta de revisão; não implementada
imobiliario,ct_notificar,Excluir,Não migrar,"Controle operacional de geocodificação/cancelamento/notificação; conservar o status cadastral estruturado, sem migrar o processo interno.",Proposta de revisão; não implementada
imobiliario,nr_apm,Excluir,Não migrar,Significado não confirmado. Não atribuir finalidade imobiliária apenas pela abreviatura; reavaliar se o dicionário demonstrar necessidade.,Proposta de revisão; não implementada
lote,id,Manter,Vínculos e identidade,Identificar o lote e suas relações territoriais/condominiais; não equivaler lote a prédio ou unidade.,Proposta de revisão; não implementada
lote,geom,Manter,Localização,Representação espacial e medidas do lote; validar referência/unidade. Área geométrica não substitui área fiscal.,Proposta de revisão; não implementada
lote,inscricao_cartografica,Manter,Vínculos e identidade,Identificar o lote e suas relações territoriais/condominiais; não equivaler lote a prédio ou unidade.,Proposta de revisão; não implementada
lote,id_bairro,Manter,Vínculos e identidade,Identificar o lote e suas relações territoriais/condominiais; não equivaler lote a prédio ou unidade.,Proposta de revisão; não implementada
lote,id_quadra,Manter,Vínculos e identidade,Identificar o lote e suas relações territoriais/condominiais; não equivaler lote a prédio ou unidade.,Proposta de revisão; não implementada
lote,id_face_quadra,Manter,Vínculos e identidade,Identificar o lote e suas relações territoriais/condominiais; não equivaler lote a prédio ou unidade.,Proposta de revisão; não implementada
lote,natureza,Manter,Ficha territorial,"Natureza, uso e condição patrimonial do lote; úteis à classificação imobiliária, com domínio confirmado antes da elegibilidade.",Proposta de revisão; não implementada
lote,nr_lote,Manter,Ficha territorial,Rótulos/endereço/nome do imóvel ou condomínio; úteis à navegação. Confirmar preenchimento e não usar nomes como chave de união.,Proposta de revisão; não implementada
lote,dt_criacao,Excluir,Não migrar,Datas administrativas de criação/edição sem atualização de atributo comprovada; excluir conforme recorte definido.,Proposta de revisão; não implementada
lote,area_construida_privativa,Manter,Áreas separadas,"Preservar medidas por conceito e nível do lote, sem repeti-las como área de cada apartamento nem somá-las por unidade.",Proposta de revisão; não implementada
lote,situacao_foto,Manter,Qualidade da informação,Apoio para avaliar disponibilidade da foto e confiabilidade da localização; não representam status de publicação do CRM. Confirmar domínio.,Proposta de revisão; não implementada
lote,ct_observacao,Excluir,Não migrar,"Comentários, devolutivas e observações internas; não migrar.",Proposta de revisão; não implementada
lote,ct_pos_geo,Excluir,Não migrar,"Controle de trabalho de campo, recadastramento, conferência documental ou edição; não necessário à ficha consolidada.",Proposta de revisão; não implementada
lote,ct_usuario,Excluir,Não migrar,Identificação de usuários operadores internos sem função na ficha imobiliária.,Proposta de revisão; não implementada
lote,ct_data_alteracao,Excluir,Não migrar,Datas administrativas de criação/edição sem atualização de atributo comprovada; excluir conforme recorte definido.,Proposta de revisão; não implementada
lote,id_area_cadastro,Manter,Vínculos e identidade,Identificar o lote e suas relações territoriais/condominiais; não equivaler lote a prédio ou unidade.,Proposta de revisão; não implementada
lote,id_distrito,Manter,Vínculos e identidade,Identificar o lote e suas relações territoriais/condominiais; não equivaler lote a prédio ou unidade.,Proposta de revisão; não implementada
lote,id_setor,Manter,Vínculos e identidade,Identificar o lote e suas relações territoriais/condominiais; não equivaler lote a prédio ou unidade.,Proposta de revisão; não implementada
lote,area_terreno_geometrica,Manter,Áreas separadas,"Preservar medidas por conceito e nível do lote, sem repeti-las como área de cada apartamento nem somá-las por unidade.",Proposta de revisão; não implementada
lote,lote_comum,Manter,Ficha territorial,"Natureza, uso e condição patrimonial do lote; úteis à classificação imobiliária, com domínio confirmado antes da elegibilidade.",Proposta de revisão; não implementada
lote,id_condominio,Manter,Vínculos e identidade,Identificar o lote e suas relações territoriais/condominiais; não equivaler lote a prédio ou unidade.,Proposta de revisão; não implementada
lote,area_construida_comum,Manter,Áreas separadas,"Preservar medidas por conceito e nível do lote, sem repeti-las como área de cada apartamento nem somá-las por unidade.",Proposta de revisão; não implementada
lote,calculo_fracao,Manter,Apoio à interpretação de área,Indica método ligado à fração; necessário para interpretar áreas associadas. Guardar separado e confirmar significado antes de cálculo/exibição.,Proposta de revisão; não implementada
lote,area_terreno_equivalente,Manter,Áreas separadas,"Preservar medidas por conceito e nível do lote, sem repeti-las como área de cada apartamento nem somá-las por unidade.",Proposta de revisão; não implementada
lote,area_terreno_manual,Manter,Áreas separadas,"Preservar medidas por conceito e nível do lote, sem repeti-las como área de cada apartamento nem somá-las por unidade.",Proposta de revisão; não implementada
lote,area_terreno_comum,Manter,Áreas separadas,"Preservar medidas por conceito e nível do lote, sem repeti-las como área de cada apartamento nem somá-las por unidade.",Proposta de revisão; não implementada
lote,area_terreno_privativa,Manter,Áreas separadas,"Preservar medidas por conceito e nível do lote, sem repeti-las como área de cada apartamento nem somá-las por unidade.",Proposta de revisão; não implementada
lote,area_terreno_legado,Manter,Áreas separadas,"Preservar medidas por conceito e nível do lote, sem repeti-las como área de cada apartamento nem somá-las por unidade.",Proposta de revisão; não implementada
lote,topografia,Manter,Ficha territorial,"Características físicas e infraestrutura do lote; traduzir códigos, sem converter qualquer valor preenchido em sim.",Proposta de revisão; não implementada
lote,pedologia,Manter,Ficha territorial,"Características físicas e infraestrutura do lote; traduzir códigos, sem converter qualquer valor preenchido em sim.",Proposta de revisão; não implementada
lote,situacao_lote,Manter,Ficha territorial,"Características físicas e infraestrutura do lote; traduzir códigos, sem converter qualquer valor preenchido em sim.",Proposta de revisão; não implementada
lote,status_campo,Excluir,Não migrar,"Controle de trabalho de campo, recadastramento, conferência documental ou edição; não necessário à ficha consolidada.",Proposta de revisão; não implementada
lote,nr_lote_topocart,Excluir,Não migrar,Rótulos da origem de levantamento sem relação adicional comprovada; não substituir inscrição e identificação territorial escolhidas.,Proposta de revisão; não implementada
lote,status_geocodificacao,Manter,Qualidade da informação,Apoio para avaliar disponibilidade da foto e confiabilidade da localização; não representam status de publicação do CRM. Confirmar domínio.,Proposta de revisão; não implementada
lote,status_recadastramento,Excluir,Não migrar,"Controle de trabalho de campo, recadastramento, conferência documental ou edição; não necessário à ficha consolidada.",Proposta de revisão; não implementada
lote,patrimonio,Manter,Ficha territorial,"Natureza, uso e condição patrimonial do lote; úteis à classificação imobiliária, com domínio confirmado antes da elegibilidade.",Proposta de revisão; não implementada
lote,benfeitoria,Manter,Ficha territorial,Benfeitorias/amenidades do lote ou conjunto; confirmar domínio. Não atribuir propriedade privativa a todas as unidades.,Proposta de revisão; não implementada
lote,passeio,Manter,Ficha territorial,Benfeitorias/amenidades do lote ou conjunto; confirmar domínio. Não atribuir propriedade privativa a todas as unidades.,Proposta de revisão; não implementada
lote,qtd_unidades,Manter,Ficha territorial,Quantidades/dimensões declaradas; manter conceitos distintos e separar unidades totais de unidades elegíveis/acessórias.,Proposta de revisão; não implementada
lote,ct_devolutiva,Excluir,Não migrar,"Comentários, devolutivas e observações internas; não migrar.",Proposta de revisão; não implementada
lote,jardim,Manter,Ficha territorial,Benfeitorias/amenidades do lote ou conjunto; confirmar domínio. Não atribuir propriedade privativa a todas as unidades.,Proposta de revisão; não implementada
